city,state,latitude,longitude
Phoenix,AZ,33.4484367,-112.074141
Brentwood,TN,36.0325687,-86.7825235
Austin,TX,30.2711286,-97.7436995
Albuquerque,NM,35.0841034,-106.650985
Philadelphia,PA,39.9527237,-75.1635262
Miami,FL,25.7741728,-80.19362
Hoboken,NJ,40.7433066,-74.0323752
Mechanicsville,VA,37.627722,-77.3538176
Cleveland,OH,41.4996574,-81.6936772
Los Angeles,CA,34.0536909,-118.242766
Denver,CO,39.7392364,-104.984862
VIenna,VA,38.9013729,-77.2651762
Bellevue,WA,47.6144219,-122.192337
New York,NY,40.7127281,-74.0060152
Kennesaw,GA,34.0234337,-84.6154897
Laguna Hills,CA,33.5948758,-117.6882067
Oceanside,CA,33.1958696,-117.379483
Nicholasville,KY,37.8806341,-84.5729961
The Villages,FL,28.9269978,-82.0041758
Boise,ID,43.6166163,-116.200886
San Francisco,CA,37.7792588,-122.4193286
Orem,UT,40.2981599,-111.6944313
College Station,TX,30.6183939,-96.3455991
Colonial Heights,VA,37.2555718,-77.4112016
Missoula,MT,46.8701049,-113.995267
Boca Raton,FL,26.3586885,-80.0830984
Tampa,FL,27.9477595,-82.458444
Seattle,WA,47.6038321,-122.330062
Knoxville,TN,35.9603948,-83.9210261
Apex,NC,35.7325352,-78.8505516
Madison,WI,43.074761,-89.3837613
Southfield,MI,42.4733689,-83.2218731
Parker,CO,39.5184514,-104.7612638
Bethesda,MD,38.9812725,-77.1233587
The Woodlands,TX,30.1734194,-95.504686
Dallas,TX,32.7762719,-96.7968559
Concord,CA,37.9768525,-122.0335624
Allentown,PA,40.6022059,-75.4712794
Minneapolis,MN,44.9772995,-93.2654692
Rancho Cordova,CA,38.5890723,-121.302728
Clarksburg,MD,39.2195565,-77.2678413
Melville,NY,40.7835914,-73.4075575
Lehi,UT,40.3881114,-111.8486019
Houston,TX,29.7589382,-95.3676974
Irving,TX,32.8295183,-96.9442177
Birmingham,AL,33.5206824,-86.8024326
Acton,MA,42.4850931,-71.43284
Mason,OH,39.3600586,-84.309939
Oak Park,MI,42.4595317,-83.1821445
Greenwood Village,CO,39.6172101,-104.950814
Atlanta,GA,33.7489924,-84.3902644
Naples,FL,26.1421976,-81.7942944
Chapel Hill,NC,35.9131542,-79.05578
Glen Allen,VA,37.664879,-77.4871236
Oakland,CA,37.8044557,-122.271356
Arlington,VA,38.8769326,-77.0893094
Pleasanton,CA,37.6624312,-121.8746789
Venice Beach,CA,33.9799601,-118.468771
Raleigh,NC,35.7803977,-78.6390989
Plainsboro,NJ,40.3334409,-74.6004341
Portland,ME,43.6573605,-70.2586618
Milton,PA,41.0177269,-76.853084
Flint,MI,43.0161693,-83.6900211
Towson,MD,39.3964591,-76.6148148
Overland Park,KS,38.9742502,-94.6851702
Frisco,TX,33.1505998,-96.8238183
Hayward,CA,37.6688205,-122.080796
Provo,UT,40.2337289,-111.6587085
San Juan Capistrano,CA,33.5016932,-117.6625509
San Jose,CA,37.3361663,-121.890591
Chicago,IL,41.8755616,-87.6244212
LOUISVILLE,KY,38.2542376,-85.759407
Hudsonville,MI,42.870889,-85.865235
White Plains,NY,41.0339862,-73.7629097
Woodland Hills,CA,34.1684364,-118.6058382
San Diego,CA,32.7174202,-117.162772
Columbus,OH,39.9622601,-83.0007065
Mooresville,NC,35.5848596,-80.8100724
Fort Lee,NJ,40.8509333,-73.9701382
Alexandria,VA,38.8051095,-77.0470229
Colleyville,TX,32.8809603,-97.155012
Santa Monica,CA,34.0194704,-118.491227
Hamburg,NY,42.716293,-78.828717
Herndon,VA,38.9695316,-77.3859479
Columbia,IL,38.4428078,-90.1997949
PENSACOLA,FL,30.421309,-87.2169149
Solana Beach,CA,32.9905597,-117.269131
Santa Ana,CA,33.7494951,-117.873221
Grand Rapids,MI,42.9632425,-85.6678639
Norwalk,CT,41.1175966,-73.4078968
Scottsdale,AZ,33.4942189,-111.926018
Fort Lauderdale,FL,26.1223084,-80.1433786
Cortland,OH,41.3301374,-80.7252433
Clearwater,FL,27.9658533,-82.8001026
Tysons Corner,VA,38.9191272,-77.2229636
scottsdale,AZ,33.4942189,-111.926018
Hicksville,NY,40.7695303,-73.5293246
San Mateo,CA,37.496904,-122.3330573
West Chester,PA,39.9597213,-75.6059638
San Antonio,TX,29.4246002,-98.4951405
Marlton,NJ,39.9005585,-74.9338911
Temecula,CA,33.4946353,-117.147366
Vienna,VA,38.9013729,-77.2651762
Silver Spring,MD,38.9997621,-77.0240371
Fairfax,VA,38.8462236,-77.3063733
Las Vegas,NV,36.171697,-115.1463536
Fargo,ND,46.877229,-96.789821
Sausalito,CA,37.8590272,-122.485469
Florida,FL,27.25,-81.25
Nashua,NH,42.7656251,-71.4677032
