state,city,latitude,longitude
AL,Birmingham,33.5206824,-86.8024326
CA,Solana Beach,32.9905597,-117.269131
LA,Houma,29.5957696,-90.7195348
IL,Schaumburg,42.0333608,-88.083406
LA,Covington,30.4753525,-90.1010474
IL,Chicago,41.8755616,-87.6244212
CO,Colorado Springs,38.8339578,-104.825348
TX,Arlington,32.7355816,-97.1071186
SC,Greenville,34.851354,-82.3984882
NC,Swannanoa,35.5998286,-82.4033934
DC,Washington,38.8950368,-77.0365427
IL,St. Charles,41.9139808,-88.3128183
MN,Minneapolis,44.9772995,-93.2654692
NJ,Wall Township,40.1743052,-74.0902219
OH,Cincinnati,39.1014537,-84.5124602
IL,Naperville,41.7728699,-88.1479278
UT,Cottonwood Heights,40.613474,-111.8256464
UT,Kaysville,41.0349847,-111.9383931
CA,Anaheim,33.8347516,-117.911732
CA,Encinitas,33.0369867,-117.2919818
